AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
APO, SKLC, Antonio Roldan Betancourt Airport, Carepa--ANT--CO, null, America/Bogota
APP, APP, Asapa Airport, --NPP--PG, null, Pacific/Port_Moresby
APQ, SNAL, Arapiraca Airport, Arapiraca--AL--BR, null, America/Maceio
APR, APR, April River Airport, April River--ESW--PG, null, Pacific/Port_Moresby
APS, SWNS, Anápolis Airport, Anápolis--GO--BR, null, America/Sao_Paulo
APT, KAPT, Marion County Brown Field, Jasper--TN--US, null, America/Chicago
APU, SSAP, Captain João Busse Airport, Apucarana--PR--BR, null, America/Sao_Paulo
APV, KAPV, Apple Valley Airport, Apple Valley--CA--US, null, America/Los_Angeles
APW, NSFA, Faleolo International Airport, Apia--AA--WS, null, Pacific/Apia
APX, SSOG, Arapongas Airport, Arapongas--PR--BR, null, America/Sao_Paulo
APY, SNAI, Alto Parnaíba Airport, Alto Parnaíba--MA--BR, null, America/Fortaleza
APZ, SAHZ, Zapala Airport, Zapala--Q--AR, null, America/Argentina/Salta
AQA, SBAQ, Araraquara Airport, Araraquara--SP--BR, null, America/Sao_Paulo
AQB, MGQC, Santa Cruz del Quiche Airport, Santa Cruz del Quiche--QC--GT, null, America/Guatemala
AQG, ZSAQ, Anqing Tianzhushan Airport, Anqing--34--CN, null, Asia/Shanghai
AQI, OEPA, Al Qaisumah/Hafr Al Batin Airport, Qaisumah--04--SA, null, Asia/Riyadh
AQJ, OJAQ, Aqaba King Hussein International Airport, Aqaba--AQ--JO, null, Asia/Amman
AQM, SWNI, Nova Vida Airport, Ariquemes--RO--BR, null, America/Porto_Velho
AQP, SPQU, Rodríguez Ballón International Airport, Arequipa--ARE--PE, null, America/Lima
AQY, AQY, Girdwood Airport, Girdwood--AK--US, null, America/Anchorage
ARA, KARA, Acadiana Regional Airport, New Iberia--LA--US, null, America/Chicago
ARB, KARB, Ann Arbor Municipal Airport, Ann Arbor--MI--US, null, America/Detroit
ARC, PARC, Arctic Village Airport, Arctic Village--AK--US, null, America/Anchorage
ARD, WATM, Mali Airport, Alor Island--NT--ID, null, Asia/Makassar
ARE, TJAB, Antonio Nery Juarbe Pol Airport, Arecibo--U--PR, null, America/Puerto_Rico
ARF, SK-471, Acaricuara Airport, Acaricuara--VAU--CO, null, America/Bogota
ARG, KARG, Walnut Ridge Regional Airport, Walnut Ridge--AR--US, null, America/Chicago
ARH, ULAA, Talagi Airport, Archangelsk--ARK--RU, null, Europe/Moscow
ARI, SCAR, Chacalluta Airport, Arica--AP--CL, null, America/Santiago
ARJ, WAJA, Arso Airport, Arso-Papua Island--PA--ID, null, Asia/Jayapura
ARK, HTAR, Arusha Airport, Arusha--01--TZ, null, Africa/Dar_es_Salaam
ARL, DFER, Arly Airport, Arly--TAP--BF, null, Africa/Ouagadougou
ARM, YARM, Armidale Airport, Armidale--NSW--AU, null, Australia/Sydney
ARN, ESSA, Stockholm-Arlanda Airport, Stockholm--AB--SE, null, Europe/Stockholm
ARO, SK-005, Arboletes Airport, Arboletes--ANT--CO, null, America/Bogota
ARP, ARP, Aragip Airport, --MBA--PG, null, Pacific/Port_Moresby
ARQ, CO-ARQ, El Troncal Airport, Arauquita--ARA--CO, null, America/Bogota
ARR, SAVR, D. Casimiro Szlapelis Airport, Alto Rio Senguerr--U--AR, null, America/Argentina/Catamarca
ARS, SJVO, Aragarças Airport, Aragarças--GO--BR, null, America/Sao_Paulo
ART, KART, Watertown International Airport, Watertown--NY--US, null, America/New_York
ARU, SBAU, Araçatuba Airport, Araçatuba--SP--BR, null, America/Sao_Paulo
ARV, KARV, Lakeland-Noble F. Lee Memorial field, Minocqua-Woodruff--WI--US, null, America/Chicago
ARW, LRAR, Arad International Airport, Arad--AR--RO, null, Europe/Bucharest
ARX, SBAC, Aracati Airport, Aracati--CE--BR, null, America/Fortaleza
ARY, YARA, Ararat Airport, --VIC--AU, null, Australia/Melbourne
ARZ, FNZE, N'zeto Airport, N'zeto--ZAI--AO, null, Africa/Luanda
ASA, HHSB, Assab International Airport, Asab--DK--ER, null, Africa/Asmara
ASB, UTAA, Ashgabat International Airport, Ashgabat--A--TM, null, Asia/Ashgabat
ASC, SLAS, Ascención De Guarayos Airport, Ascensión de Guarayos--S--BO, null, America/La_Paz
ASD, MYAF, Andros Town Airport, --NB--BS, null, America/Nassau
ASE, KASE, Aspen-Pitkin Co/Sardy Field, Aspen--CO--US, null, America/Denver
ASF, URWA, Astrakhan Airport, Astrakhan--AST--RU, null, Europe/Astrakhan
ASG, NZAS, Ashburton Aerodrome, --CAN--NZ, null, Pacific/Auckland
ASH, KASH, Boire Field, Nashua--NH--US, null, America/New_York
ASI, FHAW, RAF Ascension Island, Ascension Island--AC--SH, null, Atlantic/St_Helena
ASJ, RJKA, Amami Airport, Amami--46--JP, null, Asia/Tokyo
ASK, DIYO, Yamoussoukro Airport, Yamoussoukro--07--CI, null, Africa/Abidjan
ASL, KASL, Harrison County Airport, Marshall--TX--US, null, America/Chicago
ASM, HHAS, Asmara International Airport, Asmara--SK--ER, null, Africa/Asmara
ASN, KASN, Talladega Municipal Airport, Talladega--AL--US, null, America/Chicago
ASO, HASO, Asosa Airport, Asosa--BE--ET, null, Africa/Addis_Ababa
ASP, YBAS, Alice Springs Airport, Alice Springs--NT--AU, null, Australia/Darwin
ASQ, K9U3, Austin Airport, Austin--NV--US, null, America/Los_Angeles
ASR, LTAU, Kayseri Erkilet Airport, Kayseri--38--TR, null, Europe/Istanbul
ASS, FACC, Arathusa Safari Lodge Airport, Arathusa--NP--ZA, null, Africa/Johannesburg
AST, KAST, Astoria Regional Airport, Astoria--OR--US, null, America/Los_Angeles
ASU, SGAS, Silvio Pettirossi International Airport, Asunción--11--PY, null, America/Asuncion
ASV, HKAM, Amboseli Airport, Amboseli National Park--700--KE, null, Africa/Nairobi
ASW, HESN, Aswan International Airport, Aswan--ASN--EG, null, Africa/Cairo
ASX, KASX, John F Kennedy Memorial Airport, Ashland--WI--US, null, America/Chicago
ASY, KASY, Ashley Municipal Airport, Ashley--ND--US, null, America/Chicago
ASZ, ASZ, Asirim Airport, --WBK--PG, null, Pacific/Port_Moresby
ATA, SPHZ, Comandante FAP German Arias Graziani Airport, Anta--ANC--PE, null, America/Lima
ATB, HSAT, Atbara Airport, Atbara--04--SD, null, Africa/Khartoum
ATC, MYCA, Arthur's Town Airport, Arthur's Town--CI--BS, null, America/Nassau
ATD, AGAT, Uru Harbour Airport, Atoifi--ML--SB, null, Pacific/Guadalcanal
ATE, K80F, Antlers Municipal Airport, Antlers--OK--US, null, America/Chicago
ATF, SEAM, Chachoán Airport, Ambato--T--EC, null, America/Guayaquil
ATG, OPMS, Minhas Air Base, Kamra--PB--PK, null, Asia/Karachi
ATH, LGAV, Eleftherios Venizelos International Airport, Athens--A1--GR, null, Europe/Athens
ATI, SUAG, Artigas International Airport, Artigas--AR--UY, null, America/Montevideo
ATJ, FMME, Antsirabe Airport, Antsirabe--T--MG, null, Indian/Antananarivo
ATK, PATQ, Atqasuk Edward Burnell Sr Memorial Airport, Atqasuk--AK--US, null, America/Anchorage
ATL, KATL, Hartsfield Jackson Atlanta International Airport, Atlanta--GA--US, null, America/New_York
ATM, SBHT, Altamira Airport, Altamira--PA--BR, null, America/Manaus
ATN, ATN, Namatanai Airport, Namatanai--NIK--PG, null, Pacific/Port_Moresby
ATO, KUNI, Ohio University Snyder Field, Athens/Albany--OH--US, null, America/New_York
ATP, ATP, Aitape Airport, Aitape--SAN--PG, null, Pacific/Port_Moresby
ATQ, VIAR, Sri Guru Ram Dass Jee International Airport, Amritsar--PB--IN, null, Asia/Kolkata
ATR, GQPA, Atar International Airport, Atar--07--MR, null, Africa/Nouakchott
ATS, KATS, Artesia Municipal Airport, Artesia--NM--US, null, America/Denver
ATT, 4A2, Atmautluak Airport, Atmautluak--AK--US, null, America/Nome
ATU, PAAT, Casco Cove Coast Guard Station, Attu--AK--US, null, America/Adak
ATV, FTTI, Ati Airport, Ati--BA--TD, null, Africa/Ndjamena
ATW, KATW, Appleton International Airport, Appleton--WI--US, null, America/Chicago
ATX, KZ-ATX, Atbasar Airport, Atbasar--AKM--KZ, null, Asia/Almaty
ATY, KATY, Watertown Regional Airport, Watertown--SD--US, null, America/Chicago
ATZ, HEAT, Assiut International Airport, Assiut--WAD--EG, null, Africa/Cairo
AUA, TNCA, Queen Beatrix International Airport, Oranjestad--U--AW, null, America/Aruba
AUC, SKUC, Santiago Perez Airport, Arauca--ARA--CO, null, America/Bogota
AUD, YAGD, Augustus Downs Airport, --QLD--AU, null, Australia/Brisbane
AUE, EG-AUE, Abu Rudeis Airport, Abu Rudeis--JS--EG, null, Africa/Cairo
AUF, LFLA, Auxerre-Branches Airport, Auxerre/Branches--BFC--FR, null, Europe/Paris
AUG, KAUG, Augusta State Airport, Augusta--ME--US, null, America/New_York
AUH, OMAA, Abu Dhabi International Airport, Abu Dhabi--AZ--AE, null, Asia/Dubai
AUI, AUI, Aua Island Airport, Aua Island--MRL--PG, null, Pacific/Port_Moresby
AUJ, AUJ, Ambunti Airport, Ambunti--ESW--PG, null, Pacific/Port_Moresby
AUK, PAUK, Alakanuk Airport, Alakanuk--AK--US, null, America/Nome
AUL, MH-AUL, Aur Island Airport, Aur Atoll--AUR--MH, null, Pacific/Majuro
AUM, KAUM, Austin Municipal Airport, Austin--MN--US, null, America/Chicago
AUN, KAUN, Auburn Municipal Airport, Auburn--CA--US, null, America/Los_Angeles
AUO, KAUO, Auburn University Regional Airport, Auburn--AL--US, null, America/Chicago
AUP, AUP, Agaun Airport, --MBA--PG, null, Pacific/Port_Moresby
AUQ, NTMN, Hiva Oa-Atuona Airport, Hiva Oa Island--U--PF, null, Pacific/Marquesas
AUR, LFLW, Aurillac Airport, Aurillac--ARA--FR, null, Europe/Paris
AUS, KAUS, Austin Bergstrom International Airport, Austin--TX--US, null, America/Chicago
AUT, WPAT, Atauro Airport, Atauro--DI--TL, null, Asia/Dili
AUU, YAUR, Aurukun Airport, Aurukun--QLD--AU, null, Australia/Brisbane
AUV, AUV, Aumo Airport, Aumo--WBK--PG, null, Pacific/Port_Moresby
AUW, KAUW, Wausau Downtown Airport, Wausau--WI--US, null, America/Chicago
AUX, SWGN, Araguaína Airport, Araguaína--TO--BR, null, America/Araguaina
AUY, NVVA, Aneityum Airport, Anatom Island--TAE--VU, null, Pacific/Efate
AUZ, KARR, Aurora Municipal Airport, Chicago/Aurora--IL--US, null, America/Chicago
AVA, ZUAS, Anshun Huangguoshu Airport, Anshun--U--CN, null, Asia/Shanghai
AVB, LIPA, Aviano Air Base, Aviano (PN)--36--IT, null, Europe/Rome
AVG, YAUV, Auvergne Airport, --NT--AU, null, Australia/Darwin
AVI, MUCA, Maximo Gomez Airport, Ciego de Avila--08--CU, null, America/Havana
AVK, ZMAH, Arvaikheer Airport, Arvaikheer--055--MN, null, Asia/Ulaanbaatar
AVL, KAVL, Asheville Regional Airport, Asheville--NC--US, null, America/New_York
AVN, LFMV, Avignon-Caumont Airport, Avignon/Caumont--PAC--FR, null, Europe/Paris
AVO, KAVO, Avon Park Executive Airport, Avon Park--FL--US, null, America/New_York
AVP, KAVP, Wilkes Barre Scranton International Airport, Wilkes-Barre/Scranton--PA--US, null, America/New_York
AVR, LPAR, Alverca Air Base, Vila Franca de Xira--11--PT, null, Europe/Lisbon
AVU, AGGJ, Avu Avu Airport, --GU--SB, null, Pacific/Guadalcanal
AVV, YMAV, Avalon Airport, Melbourne--VIC--AU, null, Australia/Melbourne
AVW, KAVQ, Marana Regional Airport, Tucson--AZ--US, null, America/Phoenix
AVX, KAVX, Catalina Airport, Avalon--CA--US, null, America/Los_Angeles
AWA, HALA, Awassa Airport, Awassa--OR--ET, null, Africa/Addis_Ababa
AWB, PG-AWB, Awaba Airport, Awaba--WPD--PG, null, Pacific/Port_Moresby
AWD, NVVB, Aniwa Airport, Aniwa--TAE--VU, null, Pacific/Efate
AWE, AWE, Alowe Airport, Wonga Wongué Presidential Reserve--3--GA, null, Africa/Libreville
AWK, PWAK, Wake Island Airfield, Wake Island--79--UM, null, Pacific/Wake
AWM, KAWM, West Memphis Municipal Airport, West Memphis--AR--US, null, America/Chicago
AWN, YADS, Alton Downs Airport, --SA--AU, null, Australia/Adelaide
AWP, YAUS, Austral Downs Airport, --NT--AU, null, Australia/Darwin
AWR, AWR, Awar Airport, Awar--MPM--PG, null, Pacific/Port_Moresby
AWZ, OIAW, Ahwaz Airport, Ahwaz--10--IR, null, Asia/Tehran
AXA, TQPF, Clayton J Lloyd International Airport, The Valley--U--AI, null, America/Anguilla
AXB, 89NY, Maxson Airfield, Alexandria Bay--NY--US, null, America/New_York
AXC, YAMC, Aramac Airport, --QLD--AU, null, Australia/Brisbane
AXD, LGAL, Dimokritos Airport, Alexandroupolis--71--GR, null, Europe/Athens
AXE, SSXX, Xanxerê Airport, Xanxerê--SC--BR, null, America/Sao_Paulo
AXF, AXF, Alxa Left Banner Bayanhot Airport, Bayanhot--15--CN, null, Asia/Shanghai
AXG, KAXA, Algona Municipal Airport, Algona--IA--US, null, America/Chicago
AXJ, RJDA, Amakusa Airport, --43--JP, null, Asia/Tokyo
AXK, OYAT, Ataq Airport, --AB--YE, null, Asia/Aden
AXL, YALX, Alexandria Homestead Airport, --NT--AU, null, Australia/Darwin
AXM, SKAR, El Eden Airport, Armenia--QUI--CO, null, America/Bogota
AXN, KAXN, Chandler Field, Alexandria--MN--US, null, America/Chicago
AXP, MYAP, Spring Point Airport, Spring Point--AC--BS, null, America/Nassau
AXR, NTGU, Arutua Airport, --U--PF, null, Pacific/Tahiti
AXS, KAXS, Altus Quartz Mountain Regional Airport, Altus--OK--US, null, America/Chicago
AXT, RJSK, Akita Airport, Akita--05--JP, null, Asia/Tokyo
AXU, HAAX, Axum Airport, --TI--ET, null, Africa/Addis_Ababa
AXV, KAXV, Neil Armstrong Airport, Wapakoneta--OH--US, null, America/New_York
AXX, KAXX, Angel Fire Airport, Angel Fire--NM--US, null, America/Denver
AYA, SK-198, Ayapel Airport, Ayapel--COR--CO, null, America/Bogota
AYC, SK-144, Ayacucho Airport, Ayacucho--CES--CO, null, America/Bogota
AYD, AU-AYD, Alroy Downs Airport, Alroy Downs--NT--AU, null, Australia/Darwin
AYG, SKYA, Yaguara Airport, San Vicente Del Caguán--CAQ--CO, null, America/Bogota
AYI, SK-047, Yari Airport, Yari--CAQ--CO, null, America/Bogota
AYK, UAUR, Arkalyk North Airport, Arkalyk--KUS--KZ, null, Asia/Almaty
AYL, YANL, Anthony Lagoon Airport, --NT--AU, null, Australia/Darwin
AYM, AYM, Yas Island Seaplane Base, Abu Dhabi--AZ--AE, null, Asia/Dubai
AYN, ZHAY, Anyang Airport, Anyang--41--CN, null, Asia/Shanghai
AYO, SGAY, Juan De Ayolas Airport, Ayolas--8--PY, null, America/Asuncion
AYP, SPHO, Coronel FAP Alfredo Mendivil Duarte Airport, Ayacucho--AYA--PE, null, America/Lima
AYQ, YAYE, Ayers Rock Connellan Airport, Ayers Rock--NT--AU, null, Australia/Darwin
AYR, YAYR, Ayr Airport, --QLD--AU, null, Australia/Brisbane
AYS, KAYS, Waycross Ware County Airport, Waycross--GA--US, null, America/New_York
AYT, LTAI, Antalya International Airport, Antalya--07--TR, null, Europe/Istanbul
AYU, AYU, Aiyura Airport, Aiyura Valley--EHG--PG, null, Pacific/Port_Moresby
AYW, ID-AYW, Ayawasi Airport, Ayawasi-Papua Island--PB--ID, null, Asia/Jayapura
AYY, AYY, Arugam Bay SPB, Pottuvil--5--LK, null, Asia/Colombo
AZA, KIWA, Phoenix-Mesa-Gateway Airport, Phoenix--AZ--US, null, America/Phoenix
AZB, AZB, Amazon Bay Airport, --CPM--PG, null, Pacific/Port_Moresby
AZD, OIYY, Shahid Sadooghi Airport, Yazd--25--IR, null, Asia/Tehran
AZG, MX-AZG, Pablo L. Sidar Airport, Apatzingán--MIC--MX, null, America/Mexico_City
AZI, OMAD, Bateen Airport, --AZ--AE, null, Asia/Dubai
AZL, SWTU, Fazenda Tucunaré Airport, Sapezal--MT--BR, null, America/Cuiaba
AZN, UTKA, Andizhan Airport, Andizhan--AN--UZ, null, Asia/Tashkent
AZO, KAZO, Kalamazoo Battle Creek International Airport, Kalamazoo--MI--US, null, America/Detroit
AZP, MMJC, Atizapan De Zaragoza Airport, --MEX--MX, null, America/Mexico_City
AZR, DAUA, Touat Cheikh Sidi Mohamed Belkebir Airport, --01--DZ, null, Africa/Algiers
AZS, MDCY, Samaná El Catey International Airport, Samana--20--DO, null, America/Santo_Domingo
AZT, SK-392, Zapatoca Airport, Zapatoca--SAN--CO, null, America/Bogota
AZZ, FNAM, Ambriz Airport, Ambriz--BGO--AO, null, Africa/Luanda
BAB, KBAB, Beale Air Force Base, Marysville--CA--US, null, America/Los_Angeles
BAC, SK-272, Barranca De Upia Airport, Barranca De Upia--MET--CO, null, America/Bogota
BAD, KBAD, Barksdale Air Force Base, Bossier City--LA--US, null, America/Chicago
BAE, LFMR, Barcelonnette - Saint-Pons Airport, Le Castellet--PAC--FR, null, Europe/Paris
BAF, KBAF, Westfield-Barnes Regional Airport, Westfield/Springfield--MA--US, null, America/New_York
BAG, RPUB, Loakan Airport, Baguio City--BEN--PH, null, Asia/Manila
BAH, OBBI, Bahrain International Airport, Manama--15--BH, null, Asia/Bahrain
BAI, MRBA, Buenos Aires Airport, Punta Arenas--P--CR, null, America/Costa_Rica
BAJ, BAJ, Bali Airport, Unea Island--WBK--PG, null, Pacific/Port_Moresby
BAL, LTCJ, Batman Airport, Batman--72--TR, null, Europe/Istanbul
BAM, KBAM, Battle Mountain Airport, Battle Mountain--NV--US, null, America/Los_Angeles
BAN, FZVR, Basongo Airport, Basongo--KW--CD, null, Africa/Lubumbashi
BAP, BAP, Baibara Airport, Nabai--CPM--PG, null, Pacific/Port_Moresby
BAQ, SKBQ, Ernesto Cortissoz International Airport, Barranquilla--ATL--CO, null, America/Bogota
BAR, ZJQH, Qionghai Bo'ao Airport, Qionghai--46--CN, null, Asia/Shanghai
BAS, AGGE, Ballalae Airport, Ballalae--WE--SB, null, Pacific/Guadalcanal
BAT, SBBT, Chafei Amsei Airport, Barretos--SP--BR, null, America/Sao_Paulo
BAV, ZBOW, Baotou Airport, Baotou--15--CN, null, Asia/Shanghai
BAX, UNBB, Barnaul Airport, Barnaul--ALT--RU, null, Asia/Omsk
BAY, LRBM, Maramureș International Airport, Baia Mare--MM--RO, null, Europe/Bucharest
BAZ, SWBC, Barcelos Airport, Barcelos--AM--BR, null, America/Manaus
BBA, SCBA, Balmaceda Airport, Balmaceda--AI--CL, null, America/Santiago
BBB, KBBB, Benson Municipal Airport, Benson--MN--US, null, America/Chicago
BBC, KBYY, Bay City Municipal Airport, Bay City--TX--US, null, America/Chicago
BBD, KBBD, Curtis Field, Brady--TX--US, null, America/Chicago
BBG, NGTU, Butaritari Atoll Airport, Butaritari Atoll--G--KI, null, Pacific/Tarawa
BBH, EDBH, Barth Airport, --MV--DE, null, Europe/Berlin
BBI, VEBS, Biju Patnaik Airport, Bhubaneswar--OR--IN, null, Asia/Kolkata
BBJ, EDRB, Bitburg Airport, Bitburg--RP--DE, null, Europe/Berlin
BBK, FBKE, Kasane Airport, Kasane--NW--BW, null, Africa/Gaborone
BBL, YLLE, Ballera Airport, --QLD--AU, null, Australia/Brisbane
BBM, VDBG, Battambang Airport, Battambang--2--KH, null, Asia/Phnom_Penh
BBN, WBGZ, Bario Airport, Bario--13--MY, null, Asia/Kuching
BBO, HCMI, Berbera Airport, Berbera--WO--SO, null, Africa/Mogadishu
BBP, EGHJ, Bembridge Airport, Bembridge--ENG--GB, null, Europe/London
BBQ, TAPH, Codrington Airport, Codrington--10--AG, null, America/Antigua
BBR, TFFB, Baillif Airport, Basse Terre--U--GP, null, America/Guadeloupe
BBS, EGLK, Blackbushe Airport, Yateley--ENG--GB, null, Europe/London
BBT, FEFT, Berbérati Airport, Berbérati--HS--CF, null, Africa/Bangui
BBU, LRBS, Băneasa International Airport, Bucharest--B--RO, null, Europe/Bucharest
BBV, DIGN, Nero-Mer Airport, Grand-Béréby--09--CI, null, Africa/Abidjan
BBW, KBBW, Broken Bow Municipal Airport, Broken Bow--NE--US, null, America/Chicago
BBX, KLOM, Wings Field, Philadelphia--PA--US, null, America/New_York
BBY, FEFM, Bambari Airport, Bambari--UK--CF, null, Africa/Bangui
BBZ, FLZB, Zambezi Airport, Zambezi--06--ZM, null, Africa/Lusaka
BCA, MUBA, Gustavo Rizo Airport, Baracoa--14--CU, null, America/Havana
BCB, KBCB, Virginia Tech Montgomery Executive Airport, Blacksburg--VA--US, null, America/New_York
BCC, Z48, Bear Creek 3 Airport, Bear Creek--AK--US, null, America/Anchorage
BCD, RPVB, Bacolod-Silay Airport, Bacolod City--NEC--PH, null, Asia/Manila
BCE, KBCE, Bryce Canyon Airport, Bryce Canyon--UT--US, null, America/Denver
BCF, FEGU, Bouca Airport, Bouca--AC--CF, null, Africa/Bangui
BCG, GY-BCG, Bemichi Airport, Bemichi--BA--GY, null, America/Guyana
BCH, WPEC, Cakung Airport, Baucau--BA--TL, null, Asia/Dili
BCI, YBAR, Barcaldine Airport, Barcaldine--QLD--AU, null, Australia/Brisbane
BCK, YBWR, Bolwarra Airport, --QLD--AU, null, Australia/Brisbane
BCL, MRBC, Barra del Colorado Airport, Pococi--L--CR, null, America/Costa_Rica
BCM, LRBC, Bacău Airport, Bacău--BC--RO, null, Europe/Bucharest
BCN, LEBL, Barcelona International Airport, Barcelona--CT--ES, null, Europe/Madrid
BCO, HABC, Baco Airport, Baco--SN--ET, null, Africa/Addis_Ababa
BCP, BCP, Bambu Airport, Bambu--MPM--PG, null, Pacific/Port_Moresby
BCQ, LY-BCQ, Brak Airport, Brak--SH--LY, null, Africa/Tripoli
BCR, SWNK, Novo Campo Airport, Boca do Acre--AM--BR, null, America/Manaus
BCS, 65LA, Southern Seaplane Airport, Belle Chasse--LA--US, null, America/Chicago
BCT, KBCT, Boca Raton Airport, Boca Raton--FL--US, null, America/New_York
BCU, DNBC, Sir Abubakar Tafawa Balewa International Airport, Bauchi--BA--NG, null, Africa/Lagos
BCV, BZ-BCV, Hector Silva Airstrip, Belmopan--CY--BZ, null, America/Belize
BCW, BCW, Benguera Island Airport, Benguera Island--I--MZ, null, Africa/Maputo
BCX, UWUB, Beloretsk Airport, Beloretsk--BA--RU, null, Asia/Yekaterinburg
BCZ, BCZ, Milyakburra Airport, Bickerton Island--NT--AU, null, Australia/Darwin
BDA, TXKF, L.F. Wade International International Airport, Hamilton--U--BM, null, Atlantic/Bermuda
BDB, YBUD, Bundaberg Airport, Bundaberg--QLD--AU, null, Australia/Brisbane
BDC, SNBC, Barra do Corda Airport, Barra Do Corda--MA--BR, null, America/Fortaleza
BDD, YBAU, Badu Island Airport, --QLD--AU, null, Australia/Brisbane
BDE, KBDE, Baudette International Airport, Baudette--MN--US, null, America/Chicago
BDF, 3IS8, Rinkenberger Restricted Landing Area, Bradford--IL--US, null, America/Chicago
BDG, KBDG, Blanding Municipal Airport, Blanding--UT--US, null, America/Denver
BDH, OIBL, Bandar Lengeh Airport, Bandar Lengeh--23--IR, null, Asia/Tehran
BDI, FSSB, Bird Island Airport, Bird Island--15--SC, null, Indian/Mahe
BDJ, WAOO, Syamsudin Noor Airport, Banjarmasin-Borneo Island--KS--ID, null, Asia/Makassar
BDK, DIBU, Soko Airport, Bondoukou--08--CI, null, Africa/Abidjan
BDL, KBDL, Bradley International Airport, Hartford--CT--US, null, America/New_York
BDM, LTBG, Bandırma Airport, --10--TR, null, Europe/Istanbul
